gloss,freq
collie,1
collies,1
Collingsworth,9
color,64
color's,1
colored,22
colorful,3
coloring,14
colors,14
colossal,6
columbine,1
comb,6
combed,2
combing,1
combining,1
combs,1
come,385
comes,50
comets,1
comfort,6
comfortable,22
comfortably,9
comfortingly,1
comfy,8
comic,7
comics,17
coming,146
command,8
commanded,4
commands,3
commemorative,1
commented,1
comments,2
commit,1
committed,2
common,5
commonest,1
commotion,3
communicated,1
communication,1
commuters,2
companion,2
companions,1
company,18
compared,6
comparison,1
compassion,1
compete,3
competition,2
competitions,1
competitive,1
competitors,1
complain,6
complained,8
complaining,1
complains,1
complaints,1
complete,11
completed,5
completely,31
complicated,1
complimentary,1
compliments,2
composed,1
composing,1
composure,2
computer,3
computers,3
Con,2
concentrate,5
concentrating,3
concern,1
concerned,3
concerning,1
concert,1
conclusion,1
concoction,1
concrete,2
concussion,3
condition,4
conducting,1
conductor,1
cone,2
cones,4
conference,2
confess,1
confetti,2
confidence,1
confidently,2
confides,1
confirmed,1
confiscated,1
confused,3
confusing,1
confusion,2
conga,3
Congo,1
congratulate,2
congratulated,1
congratulations,3
conjoora,1
conjured,1
conjuring,1
conker,1
conqueror,1
consequence,1
conservation,1
conservatory,2
consider,1
considerable,1
considerably,1
considered,5
considering,4
constant,1
Constantinople_Felt,1
constantly,1
consternation,1
constrictor,1
construct,1
constructing,1
consult,3
consulted,2
consulting,1
consumed,2
contacts,2
contained,6
containing,6
contemporary,1
contemptuously,2
content,1
contented,1
contentedly,2
contentment,1
contents,5
contest,1
continue,4
continued,15
continues,1
continuing,1
contraption,3
contrary,1
contributing,1
contrivance,1
control,6
conundrum,1
convenient,1
conversation,7
conversations,1
conversing,2
convince,3
convinced,4
convulsions,1
coo,1
cooeee,10
cook,19
cooked,12
cookie,2
cooking,5
cooks,1
cool,34
cooled,2
cooler,2
coooeeee,2
cooperative,1
coordinated,1
cop,1
cope,1
copied,2
copies,1
copper,2
coprolite,1
copy,8
copycat,1
copying,2
coral,3
cord,1
cordial,1
core,1
corgi,5
corgis,2
cork,5
corn,12
corner,55
cornered,1
corners,11
cornet,1
cornets,2
cornflake,2
cornflakes,14
cornflower,1
corpse,4
correct,4
correcting,1
correctly,1
corridor,13
corridors,2
corse,2
cos,5
cosier,1
cosiest,1
cost,6
costume,19
costumes,9
cosy,12
cot,16
cote,2
cots,1
cottage,26
cotton,6
couch,3
cough,2
coughed,7
coughing,8
coughs,1
could,730
couldn't,178
council,1
count,19
countdown,1
counted,15
counter,7
counterpane,4
counting,13
countries,3
country,55
countryside,4
counts,1
couple,29
courage,5
courageous,1
course,161
courses,3
court,8
courtiers,1
courts,1
courtyard,12
cousin,41
cousins,15
covens,1
cover,14
covered,64
covering,5
covers,12
cow,99
cow's,10
coward,1
cowboy,1
cowboys,1
cowherd,1
cows,8
coy,1
cr_eeeak,1
crab,15
crabby,5
crabs,5
Crabtree,5
crack,10
cracked,4
cracker,1
crackers,1
crackety,1
cracking,4
crackled,1
crackles,1
crackling,3
crackly,1
craft,2
craftily,1
crafty,1
craggy,4
cramped,1
crane,12
craned,1
craning,1
cranky,3
cranny,3
crash,33
crashed,6
crashes,1
crashing,6
crate,4
crater,2
craves,1
crawl,5
crawled,17
crawlies,1
crawling,9
crawls,1
crax,3
crayon,28
crayons,5
craze,1
crazily,1
crazy,30
creak,3
creaked,1
creaking,2
cream,49
creamed,1
creams,2
creamy,6
crease,3
creases,1
create,9
created,3
creating,1
creations,2
creative,1
creativity,1
creature,33
creatures,22
creche,5
creeds,1
creek,2
creep,7
creeping,6
creeps,5
creepy,14
creepy_crawlies,2
creepy_crawly,1
creme_brulee,1
crept,30
crescent,2
cress,1
Cressida,10
crestfallen,1
crevice,2
crew,3
cricket,9
crickets,3
cried,357
cries,13
crime,9
crimes,1
crimiest,1
criminal,3
crimson,1
crinkle,1
crinkles,1
crisis,1
crisp,7
crisps,28
crispy,1
criss_cross,7
croak,5
croaked,3
croaking,1
croaks,1
croc,1
crock,8
crockadowndillies,3
crockery,1
crocodile,12
crocodiles,4
crocs,1
crodscollop,1
crodsquinkled,1
crodswoggle,1
Cromwell,20
Cromwell's,2
Cromwells,4
cronking,1
crooked,15
crop,1
cropped,1
croquet,2
cross,69
crossed,21
crosser,1
crosses,1
crossing,11
crossly,6
crossroads,2
crossword,3
crotching,1
crouch,3
crouched,15
crouching,6
crow,4
crowd,37
crowded,4
crowds,2
crowed,1
crowing,1
crown,39
crown's,1
crowns,1
crows,4
crudites,1
cruel,5
cruelly,1
cruelty,3
cruise,2
crumb,2
crumble,3
Crumblehampton,1
crumbs,15
crumpets,3
crumpled,5
crumples,1
crumpling,1
crumply,1
Crumpscoddle,1
crunch,23
crunched,1
crunches,1
crunching,8
crunchy,8
crunk,1
crusaders,1
crush,1
crust,1
crusts,4
cry,24
crybaby,4
crying,26
crystal,35
crystal's,5
crystals,1
cs,7
cub,1
cubs,1
cuckoo,3
cuckoos,1
cucumber,2
cuddle,2
cuddled,1
cuddles,2
cuddly,2
cudgel,2
cue,2
cuffed,1
cumbersome,1
cummerbund,2
cumpany,1
cunning,6
cup,48
cupboard,43
cupboards,2
cupcake,1
cupcakes,1
cupful,3
cupped,1
cuppy,2
cups,15
curb,4
curdbloodling,1
curdling,5
cure,10
cured,3
curiosities,2
curiosity,1
curious,14
curiously,3
curl,3
curled,15
curling,4
curls,2
curly,5
currant,5
currants,2
curranty,1
current,1
curry,1
curse,21
cursed,3
curses,2
curtain,5
curtains,30
curtly,1
curtsey,3
curtseyed,1
curtseying,3
curtsy,1
curved,4
cushion,16
cushions,4
cushy,2
custard,2
custom,2
customer,1
customers,6
cut,62
cuties,1
cutlass,1
cutlasses,1
cutlery,1
cutouts,1
cuts,2
cutter,2
cutting,7
Cy,16
cycle,1
cycles,1
cycling,2
cylinder,1
Cyril,14
d,11
d'azur,1
d'you,6
da,21
dab,1
dabble,2
dace,1
dachshund,2
dad,429
dad's,23
dadd_ddy,1
daddy,130
daddy's,15
dads,2
daft,3
Dahl,1
Dahl's,2
daily,5
dainty,7
dairies,1
dairy,11
daisies,1
daisy,4
dally,1
damages,1
damask,1
damp,7
Dan,8
dance,39
danced,24
dancer,7
dancers,8
dances,3
dancing,31
dandruff,3
dandy,1
Danes,5
danger,3
dangerous,11
dangerously,1
dangers,1
dangled,1
dangling,6
dangly,2
Daniel,16
Daniel's,3
Danny,24
Danny's,1
Darblet,1
dare,24
dared,7
dares,1
daring,12
dark,233
darken,1
darker,6
darkest,1
darkly,1
darkness,28
darksome,1
darling,10
darn,1
darted,6
darting,1
dash,5
dashed,24
dashes,1
date,6
daughter,17
daughter's,1
daughters,1
Dave,56
Dave's,7
Davenport_martins,1
David_Harrison,1
David_Henry_Wilson,1
David_Mckee,1
dawdling,1
dawn,6
dawned,3
day,408
Day_Glo,3
day's,4
daybreak,1
daydreamed,1
daydreams,2
daylight,8
daylights,1
days,71
daytime,6
dazed,2
dazzled,2
dcm,1
dead,68
deader,1
deadly,8
deadstock,1
deaf,1
deafening,2
deal,15
dealers,1
dealing,1
dear,146
dearest,2
dearie,2
dearies,1
dearly,3
death,24
deathly,2
debagging,1
debated,1
Debbie,15
Debbie's,3
Deborah,11
Deborah's,1
decades,1
December,7
decide,11
decided,72
decides,2
deciding,2
decision,4
decisive,2
deck,5
deckchair,1
deckchairs,1
decks,1
declare,7
declared,8
declares,1
declined,1
decorate,8
decorated,8
decoration,2
decorations,4
decree,1
deduced,1
Dee,1
deeds,2
deep,98
deeper,8
deepest,1
deeply,8
deer,7
defeat,1
defending,1
defiant,1
definite,1
definitely,14
degrees,2
dehydrated,1
delayed,3
delicate,6
delicately,1
delicious,32
deliciously,1
delight,16
delighted,23
delightedly,1
delightful,2
delirious,2
deliver,5
delivered,1
delivers,1
delumptious,2
delunctious,1
deluxe,1
demanded,7
demanding,2
demon,16
Demonade,1
demons,1
demonstrate,3
demonstrated,3
den,17
Denmark,2
dense,2
dentist,4
dentist's,1
dentists,1
deodorant,1
departed,2
departing,2
department,5
departure,1
depending,3
depends,2
deposited,1
depressed,1
depths,4
deputy,1
der,3
der_der,1
derivations,1
descend,1
describe,4
described,1
description,1
desert,3
deserted,3
deserve,3
deserved,2
deserves,3
designed,3
desire,4
desk,18
Desmond,2
desolate,2
desperate,7
desperately,6
desperation,1
despised,1
despite,6
dessert,3
desserts,2
destination,2
destined,1
destroyed,2
destruction,2
detail,2
details,2
Dete,15
detect,2
detection,1
detective,14
determined,11
Dettol,10
Dettol's,1
devastating,1
devil,9
devil's,1
devilfish,1
devilish,1
devils,1
devote,1
devoted,1
devoured,1
devouring,2
dew,4
dewy,1
dexterity,1
diabolical,2
diagonally,1
diagram,2
dialed,1
diameter,4
diamond,3
diamonds,5
diary,1
dibble,2
dibbler,1
dick,1
Dick_King_Smith,4
dictionary,1
did,473
diddle,2
diddly,1
diddly_dummed,1
didn't,426
die,14
died,15
dies,2
diet,2
dieting,1
difference,9
differences,2
different,71
different's,1
differently,4
differents,2
difficult,21
difficulty,1
dig,13
digested,1
digestion,1
digger,1
digging,15
digital,1
dignified,6
digs,1
dill,1
dillions,3
dilly,1
dim,5
dimmed,1
dimness,1
din,2
din_din,1
dined,1
diners,1
ding,12
dingly_dangly,1
dingoes,1
dining,3
dinky,5
dinner,50
dinners,13
dinnertime,1
dinosaur,26
dinosaurs,4
dip,18
diplomacy,5
dipped,3
dipping,4
dippy,4
dips,3
directed,4
direction,16
directions,2
directly,7
director,4
dirt,8
dirty,20
disagree,1
disagreeable,1
disappear,8
disappeared,36
disappearing,11
disappears,1
disappointed,14
disappointing,1
disappointment,2
disapprovingly,1
disaster,10
disasters,1
disastrophe,1
disastrous,1
disbelief,3
disco,6
discouraged,1
discover,7
discovered,19
discovering,1
discovery,1
discretion,1
discuss,1
discussed,1
discussing,3
discussion,2
disdainful,1
disease,5
disgrace,3
disgraceful,2
disguise,3
disguised,2
disguises,1
disgust,2
disgustable,1
disgusted,1
disgusterous,2
disgusting,14
disgustingly,1
disgustive,2
dish,14
dishes,6
dishing,1
dishwasher,1
Dishworth's,1
dislikes,1
disliking,1
dismay,4
dismayed,1
dismissed,1
Disney,1
disobedience,1
disobedient,1
display,3
displayed,1
displaying,1
displays,1
displease,1
dispunge,1
disruptive,1
distance,11
distant,9
distinctly,2
distinguished,4
distract,3
distracted,4
distracting,2
distress,1
distressed,2
distressing,1
distributed,1
disturb,2
disturbed,1
disturbing,2
disturbs,3
ditch,3
dithered,1
ditto,1
dive,5
dived,4
dives,2
divet,1
divided,3
divides,1
dividing,1
divination,2
divine,1
diving,6
DIY,1
dizzy,13
DJ,2
do,969
do_o_o,1
do_oo_oo,1
dock,5
doctor,53
doctor's,3
doctors,11
doddle,1
dodge,1
dodo,1
does,96
doesn't,84
dog,325
dog's,11
dogger,23
doggie,2
doggy,4
doghouse,1
dognapped,1
dogs,56
Dogswoggler,1
doing,132
doll,5
doll's,1
dollar,1
dollop,2
dollops,4
dolls,28
dolly,8
Dolly,2
dolphin,3
dolphins,1
dominoes,1
don't,701
Donaldson's,7
donated,1
done,97
dong,39
donkey,25
donkey's,1
donkeys,1
donuts,3
doo,14
dooby,6
doom,6
dooooo,2
doooooo,4
door,323
door's,5
doorbell,5
doorbells,1
doorknob,1
doorman,4
doorman's,1
doormat,2
doors,17
doorstep,10
doorway,8
Doris,8
dormitories,1
dormitory,4
dormouse,1
Dorothea_Faybelline_Felt,1
Dorothy_Edwards,3
dory,8
dory_hunky,1
dose,5
dosed,1
doses,1
dot,8
Dot,3
doth,1
dots,5
dotted,3
dotty,4
double,8
doubles,1
doubly,1
doubt,13
doubted,2
doubtful,1
doubtfully,6
doubts,3
dough,6
doughnut,4
doughnuts,3
dove,3
doves,4
Dow,1
Dow_Jones,1
down,857
downbeat,1
downed,1
downpour,1
downright,1
downstairs,39
downstream,1
downwards,4
downy,1
doze,3
dozed,4
dozen,8
dozens,1
dozing,6
Dr,17
Dracula,8
Dracula's,2
drag,2
dragged,10
dragging,2
dragon,47
dragon's,5
dragonfish,1
dragonflies,3
dragonfly,2
dragons,25
drain,2
draining,1
drama,1
dramatically,3
drank,9
draped,2
drat,4
draughty,1
draw,29
drawbridge,1
drawer,7
drawers,5
drawing,15
drawings,1
drawled,1
drawn,10
draws,1
dread,1
dreaded,5
dreadful,16
dreadfully,2
dreading,2
dreadly,2
dream,126
dreamed,17
dreamers,2
dreamily,1
dreaming,13
dreams,75
dreamt,1
dreamy,1
drenched,1
drenching,1
dress,58
dressed,36
dresser,1
dresses,5
dressing,24
drew,23
dribble,8
dribbled,3
dribbling,1
dribbly,1
dried,19
dries,1
drift,1
drifted,6
drifting,3
drifts,3
drink,47
drinking,12
drinks,12
drip,5
dripped,5
dripping,9
Drippy,1
drive,23
driven,4
driver,12
drivers,2
drives,1
driving,23
drizzle,1
droned,4
drooling,1
droop,2
drooped,2
drooping,1
drop,26
droplets,1
dropped,55
dropping,7
droppings,1
drops,8
drove,11
drown,4
drowned,4
drowning,6
drowns,1
drowsily,1
drowsy,1
drug,2
druggist,7
drum,4
drumming,2
drums,2
drunk,5
dry,16
drying,2
ds,2
dubbed,1
duck,67
duck's,1
ducked,3
duckhound,1
ducking,1
duckling,2
ducklings,1
ducks,15
ducky,1
ducky's,1
dude,1
due,3
dug,16
dugong,24
dugong's,2
dugongs,4
duh,2
dull,7
dullest,1
duly,1
Dum,1
dumb,1
dumbfounded,1
dumbsilly,1
dummy,1
dump,4
dumped,2
dumping,1
dumpling,3
Dumpty,3
dumpy,1
Duncan,17
dung,5
dungeon,8
dungerous,1
dunked,1
dunno,6
Dupont,12
Dupont's,1
during,26
dursent,1
dusk,3
dusky,4
dust,21
dusted,6
duster,3
dusters,1
dusting,1
dustman,2
dusty,6
duties,1
dutiful,1
duty,8
duvet,9
DVD,1
dwarfs,1
dwelling,2
dwellings,1
dwindled,1
dwindling,2
dying,11
e,12
each,222
eager,4
eagerly,9
eagle,1
eagles,1
ear,65
earache,3
earbusting,1
eared,1
earing,1
earlier,3
earlobes,1
early,43
earn,2
earned,2
earnest,6
earning,1
earphones,6
earring,1
earrings,1
ears,89
earshot,1
earsplitting,1
earth,63
earth's,2
earthlings,1
earthquake,1
earthquakes,1
earwig,5
earwigs,2
ease,2
easel,3
easier,9
easiest,3
easily,13
east,7
easter,4
easy,37
eat,212
eaten,43
eater,1
eaters,2
eating,77
eats,16
echo,4
echoed,9
echoy,2
ecstasy,1
ectoplasm,1
Ed,30
Ed_Felt,1
Ed's,4
Eddie,77
Eddie_Wilson,1
Eddie's,7
Edgar_Grimpton,1
edge,41
edged,2
edges,8
edging,3
edible,3
edition,3
Edmond,3
educate,1
educated,1
Edward's,1
Edwina_Agnetha_Felt,1
eeeee,1
eeeeeeak,1
eeeeeeee,1
eeeeeeeeeeeekkk,1
eeeeeowtch,1
eeeeeowwwfftz,1
eeek,1
eeeow,1
eek,26
eeking,2
eekkk,1
eel,3
eerie,5
eeriest,1
eerily,1
effect,7
effective,1
effects,2
efficient,1
effort,5
efforts,2
egg,54
eggcups,1
eggs,31
eggshells,5
Egypt,2
egyptian,2
Egyptian,2
eh,4
eiderdown,5
Eiffel,5
eight,77
eighteen,4
eighteenth,1
eighth,1
eighty,14
either,48
elastic,4
elbow,1
elbowed,1
elbows,1
elderly,1
Eleanora,21
Eleanora's,5
Eleanoras,1
electric,4
electrician,1
electricity,2
elefunt,4
elegant,2
elektrik,1
elephant,89
elephants,33
eleven,17
elevenses,1
elf,4
elite,1
Elizabeth_Ruby_Biggalow,1
Ella,6
Ellen,276
Ellen's,18
Elliot_Snidgecombe,4
Elmer,27
Elmer's,1
eloped,1
eloping,1
else,93
else's,4
elsewhere,1
elves,4
em,1
embarrassed,5
embarrassing,1
embedded,1
emerald,6
emerge,1
emerged,2
emergencies,2
emergency,20
emission,1
Emma,50
Emma's,1
emotion,1
emotions,3
emporium,1
empress,1
emptied,9
emptier,2
empty,67
emptying,2
enabled,1
enchanted,2
enchanting,2
enclosed,1
encounter,1
encountered,1
encounters,1
encourage,5
encouragement,2
encrusted,2
encyclo_ped,1
encyclopedia,4
end,141
endear,1
endeavoring,1
ended,3
ending,3
endings,1
endocrinology,1
ends,7
enemies,7
enemy,14
enemy's,2
energized,1
energy,4
eng,1
engage,1
engine,12
engine's,1
engineers,1
engines,5
England,19
England's,3
english,10
engravings,1
Enid_Blyton,1
enjoy,13
enjoyable,2
enjoyed,18
enjoying,4
enjoys,1
enormous,77
enough,147
enriched,1
enslaved,1
enter,4
entered,11
entering,1
enters,1
entertain,2
entertained,2
entertainer,2
enthusiastically,3
enticing,1
entire,10
entirely,3
entrance,23
entrepreneurs,1
envelope,7
envied,2
envy,1
eowww,1
epigraph,1
epilogue,1
equal,1
equality,1
equally,1
equipment,2
er,31
erghhh,1
erm,2
Ernie,1
Eros,1
errand,1
erupted,2
es,2
escalator,1
escape,20
escaped,8
escaping,4
especially,34
esquimo,3
esquimos,1
esquire,1
essays,1
essential,2
estate,1
estimating,1
etc,3
ethics,1
Eton,1
eugh,1
eureka,1
Europe,1
european,1
eve,7
even,305
evening,76
evenings,3
event,2
events,3
eventually,9
ever,246
Everest,1
everlasting,1
every,218
everybody,24
everyday,2
everyone,206
everyone's,9
everything,132
everything's,2
everywhere,36
eves,1
evidence,1
evidently,1
evil,11
Evilton,6
ewha,4
ex,3
exact,3
exactly,70
exaggeration,2
examine,1
examined,8
examining,3
example,8
examples,1
exasperated,1
exceedingly,2
excel,1
excellent,22
except,67
excepting,2
exception,1
exceptionally,2
exchange,2
exchanged,2
excited,51
excitedly,6
excitement,21
exciting,25
exclaimed,20
excuse,22
excused,1
execute,1
exercise,6
exercises,1
exhausted,4
exhibit,1
exhibition,4
exhibits,1
exist,5
existing,2
exotic,1
expect,25
expectantly,1
expected,12
expecting,8
expects,1
expedition,3
expensive,7
experience,8
experienced,1
experiment,2
experimental,2
experimentally,1
expert,12
explain,23
explained,27
explaining,4
explains,1
explode,5
exploded,4
exploding,2
explore,6
explored,7
explorer,3
explorers,1
explores,1
exploring,4
explosion,2
explosions,2
expose,1
exposed,1
express,1
expressed,1
expressing,1
expression,4
expressions,1
extended,1
extension,3
extent,1
exterminator,1
extinction,1
extra,30
extracted,1
extraordinaire,2
extraordinary,7
extravagantly,1
extremely,29
exunckly,2
eye,73
eyeball,9
eyeballs,4
eyebones,1
eyebrow,2
eyebrows,4
eyed,6
eyeing,1
eyelids,1
eyes,280
eyes_cream,1
eyesight,2
f,5
fables,1
fabric,4
fabulous,6
face,202
faced,15
faces,24
facial,1
facing,7
fact,47
factor,1
factories,1
factory,3
facts,5
fade,2
faded,7
fading,3
Fahrenheit,1
fail,6
failed,4
failing,1
faint,19
fainted,3
fainter,1
faintest,2
fainting,1
faintly,3
fair,31
fairer,1
fairground,2
fairies,12
fairly,1
fairy,82
fairy's,1
faithful,1
fajitas,2
fake,6
faker,2
faking,1
fall,42
fallen,26
falling,14
falls,13
false,1
fame,5
familiar,16
families,5
family,69
family's,2
famished,1
famous,37
fan,7
fancy,18
fancying,1
fandango,1
fang,1
Fangmangler,15
Fangmangler's,1
Fangmanglers,2
fangs,6
fangtastically,1
fans,6
fantastic,18
far,120
far_off,1
faraway,6
fares,1
farewell,4
farm,11
farmer,14
farmers,1
farmhouse,1
farmyard,4
farmyards,1
farriers,1
fart,1
farted,2
farther,4
fascinated,1
fascinating,6
fashion,5
fashioned,3
fast,119
fasten,2
fastened,2
faster,29
fastest,1
fat,57
father,202
father'll,1
father's,21
fathers,2
fatigued,1
fatten,1
fatty,1
fault,14
faves,1
favorite,63
favorites,1
fax,1
fear,43
feared,1
fearful,6
fearfully,4
fearless,6
fears,2
fearsome,11
feast,11
feasted,2
feasting,2
feather,6
feathered,1
featherish,1
feathers,30
feathery,5
February,4
fed,18
fee,2
feeble,1
feebly,1
feed,23
feeding,17
feeds,1
feel,128
feeling,81
feelings,9
feels,17
feet,174
Felicia,6
Felician,2
Felicianica,1
Felicians,2
felicity,1
fell,124
feller,1
fellow,14
felt,175
Felt,1
Felts,15
female,1
fence,12
fern,17
fern's,3
ferns,1
ferret,2
ferry,1
festival,4
festivals,1
festive,1
fetch,37
fetched,12
fetches,1
fetching,4
fete,2
fever,1
feverish,2
few,106
fewer,1
fiasco,1
fibbing,1
fibs,1
fibster,1
fication,1
fiddle,1
fiddle_de_dees,2
fiddlers,1
fiddling,1
fiddly,1
fidgeted,1
fidgety,1
field,36
fields,21
fiend,2
fiendish,2
fierce,26
fiercely,2
fiery,11
Fifi,3
fifteen,11
fifteenth,2
fifth,6
fiftieth,2
fifty,63
fig,1
Figgins,2
figgled,1
figglers,1
fight,32
fighters,1
fighting,9
fights,3
figure,12
figures,4
filched,1
fill,33
filled,56
filler,4
filling,6
fills,2
film,37
filmed,1
filming,3
films,3
filter,1
filth,1
filthiest,1
filthing,2
filthsome,5
filthy,14
fin,1
final,19
finally,28
financial,2
find,222
finding,16
finds,19
fine,62
finely,1
finer,1
finery,1
finest,5
finger,30
fingernail,5
fingernails,3
fingers,77
finish,21
finished,51
finishes,1
finishing,3
fins,1
Fiona,3
fir,3
fire,69
fire's,2
firecrackers,1
fired,9
fireflies,8
firemen,1
fireplace,2
fireside,1
firework,6
fireworks,18
firm,5
firmly,20
first,259
fish,70
fish's,1
fished,1
fisherman,2
fishermen,2
fishes,4
fishhook,1
fishies,1
fishing,15
fishy,6
fist,5
fistful,1
fists,6
fit,33
fitness,1
fits,5
fitted,9
five,179
fix,15
fixed,11
fixers,1
fixing,2
fizz,5
fizzed,1
fizzer,1
fizzing,4
fizzle,2
Fizzlecrump,1
Fizzwiggler,1
Fizzwinkel,1
fizzy,8
Fizzywizz,4
flab,1
flabby,1
flag,6
flagged,1
flags,4
flagstone,1
flagstones,1
flailing,1
flair,1
flak,1
flaked,1
flakes,5
flame,5
flamenco,1
flames,6
flaming,1
flamingo,2
flamingos,2
flannel,2
Flanville,1
flap,22
flapped,6
flapping,13
flaps,2
flash,6
flashed,9
flashes,1
flashing,6
flashlight,7
flashy,1
flask,3
flat,30
Flatman,1
flattened,4
flattening,1
flattered,1
flaunting,1
flavor,11
flavored,1
flavors,2
flax,4
flaxen,1
flea,11
fleas,8
fled,4
flee,1
flees,1
flesh,8
Fleshlumpeater,43
Fleshlumpeater's,7
fleshlumpeating,4
flew,119
flick,3
flicked,2
flickering,2
flickers,1
flicking,1
flicks,2
fliers,1
flies,14
flight,5
flights,1
flinch,1
flinched,1
fling,1
flinging,3
flings,1
flip,2
flipped,2
flipper,1
flippers,4
flipping,2
flips,2
flitted,1
Flo,3
Flo_Felt,4
float,8
floated,13
floating,17
floats,3
flocci,1
floccinaucinihilipilification,2
flock,4
flocking,1
flom,3
flood,5
flooded,3
floods,1
floor,109
floor's,1
floorboards,7
floors,2
flopped,2
flopping,1
floppy,5
flops,2
Flopton_on_sea,3
Flora,1
Flora_Felt,1
Floral,1
Florence,1
florist,1
floss,1
flote,1
flounced,1
flour,17
flourished,1
flow,1
flowed,5
flower,25
flowerbed,2
flowerbeds,1
flowered,1
flowering,1
flowerpot,4
flowers,54
flown,3
flu,1
fluckgungled,1
fluffed,4
fluffing,1
fluffy,22
Fluffy's,3
flummery,3
flung,12
flungaway,1
fluorescent,1
flurry,3
flush,2
flushbunking,7
Flushbunkled,1
flussed,1
flustered,2
flute,4
flutes,2
flutter,1
fluttered,7
fluttering,6
fluttery,1
fly,61
flyer,1
flying,67
Fm,1
foal,1
foam,9
foamed,1
foaming,1
foamy,1
focus,2
focusing,2
foe,1
fog,4
foggiest,2
foggy,1
foghorns,1
foil,1
foiled,1
fold,9
folded,7
folding,2
folds,3
folk,3
folks,5
follow,27
followed,49
following,23
follows,2
fond,14
fone,1
food,97
food's,1
foods,6
fool,10
fooled,7
fooling,1
foolish,4
foolproof,1
foooooo,1
fooooood,1
fooooooo,1
foot,84
football,26
footballer,1
footballers,1
footballs,2
footcheling,1
footing,1
footman,1
footmen,15
footprints,7
Footsie,1
Footsie_One_Hundred,1
footsteps,16
footstool,1
foozle,1
for,1915
forbidden,10
forbidding,1
force,23
forced,3
forcing,1
fore,1
forehand,1
forehead,7
forest,44
forests,6
forever,18
forget,36
forget_me_nots,1
forgetful,1
forgets,1
forgetting,8
forging,1
forgive,8
forgiven,2
forgiving,1
forgot,52
forgotten,32
fork,10
forks,2
forlorn,3
forlornly,2
form,7
formal,1
formation,1
formations,1
formed,4
formerly,1
forming,1
forms,3
formula,1
forsaken,1
fort,15
fort's,2
forth,7
forthwards,1
forthwith,1
fortified,1
fortnight,1
fortnightly,1
Fortnum,1
fortunately,4
fortune,23
forty,20
forward,40
forwards,5
fossil,1
foster,1
Fotz,18
Fotz's,1
fought,8
foul,11
fould,1
foulness,1
Foulpesters,1
foulsome,2
found,219
fountain,6
fountains,2
four,207
fours,1
fourteen,9
fourth,5
fox,88
fox's,3
foxes,19
foxglove,1
foxgloves,1
fozzlehumper,1
frack,1
fraction,3
fragile,1
fragments,3
fragrant,3
fraidy,1
frail,2
frame,2
frames,1
Fran,1
Fran's,1
France,3
Frances,13
Frances's,1
franglewhangled,1
Frank,15
Frank's,1
Frankenstein,1
Frankfurt,6
frankfurter,1
frankfurters,1
Franklin,33
Franklin's,4
frankly,1
frantic,3
frantically,3
freaks,3
freaky,1
freckles,5
Fred,7
free,48
freed,5
freedom,2
frees,1
freeze,3
freezed,1
freezes,1
freezing,2
freighted,1
french,9
frenzied,1
frenzy,1
frequently,1
fresh,21
freshly,4
fret,1
fretting,1
friday,14
fridays,3
fridge,7
fridging,1
fridgy,1
fried,20
friend,109
friend's,4
friendly,43
friends,86
fries,1
fright,6
frighten,6
frightened,30
frightening,14
frightens,1
frightful,5
frightfully,1
frightsome,7
frightswiping,1
frilly,7
frisby,1
frisky,2
frittered,1
frizzelsnatch,1
frizzle,1
fro,5
Frobscottle,20
frock,1
frog,112
frog's,1
frogface,2
frogglefrump,1
froggy,1
frogs,20
Frogsquinkers,1
frolic,1
frolicked,1
frolicking,1
frolics,2
from,826
front,151
frost,7
frosted,1
frostily,1
frosting,1
frosty,10
froth,7
Frothblower,1
frothbungling,1
frothing,2
frothy,2
frown,2
frowned,13
frowning,6
frowns,2
froze,9
frozen,12
fruit,29
fruits,6
fruity,1
frump,1
frumpet,1
frumpkin,1
frumps,1
frumptious,2
frustration,1
fry,2
frying,5
fsshh,1
fssssh,1
Ftse,1
fudge,2
fulfilling,1
full,126
fuller,2
fully,6
fumble,1
fumbled,2
fume,1
fumes,1
fuming,2
fun,107
funderful,1
fungi,1
fungus,1
funky,2
funnier,1
funniest,6
funny,92
fur,23
furious,15
furiously,5
furniture,9
furred,1
furrier,1
furrow,10
furrows,1
furry,23
furryish,1
further,21
furthest,1
fury,5
fuss,11
fusspot,1
fussy,1
future,4
fuzz,1
fuzzy,1
fwo,8
g,4
g_good,1
ga,1
gadabout,7
gadget,1
gah,3
gained,2
gal,1
gale,1
galleries,1
gallon,2
gallop,9
galloped,19
galloping,37
gallops,1
galore,1
game,51
game's,1
gameboy,1
games,27
gammy,1
gang,10
gangly,1
gap,9
gaped,4
gaping,3
gappy,1
garage,7
garden,211
gardener,5
gardenia,5
gardens,9
garlic,1
garments,1
Garth,8
Garth's,1
Gary's,1
gas,8
gasp,4
gasped,64
gasping,8
gasps,3
gaster,1
gastromancy,2
gate,33
gateau,5
gateaux,3
gates,6
gateway,1
gather,5
gathered,10
gathering,2
gatherings,1
gaudy,1
gauze,1
gave,167
Gavin,1
gaze,5
gazed,22
gazelle,7
gazes,1
gazing,9
gear,6
gee,1
geezer,1
gene,1
general,4
generally,3
generations,1
generous,1
generously,1
genie,1
genius,6
gentle,10
gentleman,10
gentlemen,1
gently,40
genuine,1
genuinely,1
geometry,1
Geordie,3
George,254
